page_id,it_path,proposed_hr_path,source_refs,status,existing_live_path
home,/,/hr/,t1,approved,/hr
services,/prestazioni-dentali,/hr/usluge,t1+t2+t3+t4+t5+t12,approved,
four-implant-denture,/prestazioni/protesi-definitiva-ancorata-su-4-impianti,/hr/proteza-na-4-implantata,t2,approved,
fixed-implant-bridge,/prestazioni/premium-ponte-fisso-su-impianti,/hr/fiksni-most-na-implantatima,t3,approved,
whitening,/prestazioni/sbiancamento-dei-denti,/hr/izbjeljivanje-zubi,t4,approved,/hr/izbjeljivanje-zubi
crowns-veneers-bridges,/prestazioni/corone-faccette-ponti-e-protesi,/hr/krunice-ljuskice-mostovi-i-proteze,t5,approved,
sedation,/prestazioni/sedazione-cosciente,/hr/svjesna-sedacija,p62+p63+t12,approved,
about,/chi-siamo,/hr/o-nama,p22+t1+t6+t7+t8+t9+t10+t11,approved,/hr/o-nama
specialists,/su-di-noi/i-nostri-specialisti,/hr/nasi-specijalisti,p23+t6,approved,
all-in-one,/su-di-noi/tutto-in-un-unico-luogo,/hr/sve-na-jednom-mjestu,p27+t7,approved,
directions,/su-di-noi/come-raggiungerci,/hr/kako-do-nas,p32+t8,approved,
laboratory,/su-di-noi/laboratorio-odontotecnico,/hr/dentalni-laboratorij,p39+t9,approved,
materials,/su-di-noi/materiali-e-apparecchiature,/hr/materijali-i-oprema,p48+p49+t10,approved,
new-implants,/su-di-noi/impianti-di-nuova-generazione,/hr/implantati-nove-generacije,p55+t11,approved,
information,/informazioni-per-pazienti,/hr/informacije-za-pacijente,t1+t13+t14+t15+t16+t17+t19,approved,
first-visit,/informazioni/prima-visita-gratuita,/hr/prvi-pregled,p71+t13,approved,/hr/prvi-pregled
treatment-duration,/informazioni/tempi-del-trattamento,/hr/trajanje-lijecenja,p76+t14,approved,
payment,/informazioni/pagamento-flessibile,/hr/placanje,t15,approved,/hr/placanje
guarantees,/informazioni/garanzie,/hr/jamstva,p87+t16,approved,/hr/jamstva
accommodation,/informazioni/alloggio,/hr/smjestaj,p93+t17,approved,
transport,/informazioni/trasporto,,p98+t18,excluded-italian-only,
prices,/informazioni/listino-prezzi,/hr/cjenik,p104+t19,approved,
testimonials,/testimonianze,/hr/iskustva-pacijenata,p112+t20+p217-p309,approved,/hr/testimonials
faq,/faq,/hr/faq,p310+p313+t22+t23,approved,/hr/faq
gallery,/domande-e-risposte,/hr/galerija,p353+p355+t24+t25+t26,approved,
contact,/contatti,/hr/kontakt,p375+t27+t28+t29+t31,approved,/hr/kontakt
privacy,/informativa-sulla-privacy,/hr/polica-privatnosti,,approved,/hr/polica-privatnosti
terms,/condizioni-di-utilizzo,/hr/uvjeti-koristenja,,approved,/hr/uvjeti-koristenja
